+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| Package Name                | File Name                                 | Type     | Blank    | JavaDoc  | Comment  | Code     | Total    |
| projecthub.ui.view          | SprintListView.java                       | src      |       30 |        0 |       29 |      263 |      322 |
| projecthub.ui.view          | SprintListViewTest.java                   | src      |       15 |       82 |       24 |       86 |      207 |
| projecthub.ui.view          | SprintQualityBoard.java                   | src      |       47 |        0 |       53 |      343 |      443 |
| projecthub.ui.view          | SprintQualityBoardTest.java               | src      |       12 |        0 |       18 |      106 |      136 |
| projecthub.ui.view          | TaskListView.java                         | src      |       72 |       13 |       74 |      425 |      584 |
| projecthub.ui.view          | TaskListViewTest.java                     | src      |        8 |       16 |       17 |       70 |      111 |
| projecthub.ui.view          | UserListView.java                         | src      |       24 |        0 |       28 |      155 |      207 |
| projecthub.ui.view          | UserListViewTest.java                     | src      |       11 |       63 |       17 |       70 |      161 |
| projecthub.ui.view          | VersionListView.java                      | src      |       28 |        3 |       31 |      193 |      255 |
| projecthub.ui.view          | VersionListViewTest.java                  | src      |       13 |       80 |       20 |       74 |      187 |
+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| projecthub.ui               | Demo.java                                 | src      |       12 |        3 |       72 |       66 |      153 |
| projecthub.ui               | GenerateScreenshots.java                  | src      |       52 |       27 |      104 |      324 |      507 |
| projecthub.ui               | HtmlColor.java                            | src      |        6 |        0 |       36 |       22 |       64 |
| projecthub.ui               | MainErrorHandler.java                     | src      |        5 |        0 |       16 |       28 |       49 |
| projecthub.ui               | MainLayout.java                           | src      |       45 |       10 |       30 |      182 |      267 |
| projecthub.ui               | SprintStatus.java                         | src      |        2 |        0 |       16 |        4 |       22 |
+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| projecthub.util             | AbstractEntityGenerator.java              | src      |       98 |       48 |       46 |      629 |      821 |
| projecthub.util             | AbstractGanttTestUtil.java                | src      |       49 |        6 |       51 |      495 |      601 |
| projecthub.util             | AbstractLegacyGanttTestUtil.java          | src      |       10 |        0 |       19 |       87 |      116 |
| projecthub.util             | AbstractTestUtil.java                     | src      |       20 |        0 |       27 |       92 |      139 |
| projecthub.util             | DTOAsserts.java                           | src      |       29 |        0 |       25 |      135 |      189 |
| projecthub.util             | H2DatabaseStateManager.java               | src      |       22 |       27 |       27 |      125 |      201 |
| projecthub.util             | NameGenerator.java                        | src      |       13 |        0 |       16 |       85 |      114 |
| projecthub.util             | RandomCase.java                           | src      |        7 |        0 |       16 |       49 |       72 |
| projecthub.util             | TestInfoUtil.java                         | src      |       15 |       86 |       16 |       51 |      168 |
+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| projecthub                  | Application.java                          | src      |        5 |        0 |       16 |       22 |       43 |
| projecthub                  | Context.java                              | src      |        4 |        0 |       71 |       10 |       85 |
| projecthub                  | ParameterOptions.java                     | src      |        8 |        0 |       23 |       54 |       85 |
| projecthub                  | ProjectHubParameterOptions.java           | src      |        9 |        0 |       29 |      105 |      143 |
| projecthub                  | SerializationTest.java                    | src      |       11 |        0 |       16 |       71 |       98 |
+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| svg.util                    | ExtendedGraphics2D.java                   | src      |       95 |        0 |       18 |      301 |      414 |
| svg.util                    | ExtendedPolygon.java                      | src      |       11 |        3 |       16 |       27 |       57 |
| svg.util                    | ExtendedRectangle.java                    | src      |       14 |        3 |       16 |       40 |       73 |
| svg.util                    | ExtendedSvgGraphics2D.java                | src      |       31 |        0 |       34 |      126 |      191 |
| svg.util                    | ExtendedSvgShape.java                     | src      |        7 |        0 |       16 |       30 |       53 |
| svg.util                    | RectangleWithLink.java                    | src      |        9 |        3 |       16 |       21 |       49 |
| svg.util                    | RectangleWithToolTip.java                 | src      |        9 |        3 |       16 |       21 |       49 |
| svg.util                    | SvgExtendedPolygon.java                   | src      |        6 |        0 |       16 |       31 |       53 |
| svg.util                    | SvgExtendedRectangle.java                 | src      |        7 |        0 |       16 |       51 |       74 |
| svg.util                    | TestSVGGen.java                           | src      |       10 |        0 |       49 |       54 |      113 |
+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| util.date                   | AddNoneWorkingDaysTest.java               | src      |       12 |        0 |       32 |       50 |       94 |
| util.date                   | CalcualteEfficiencyTest.java              | src      |       12 |        0 |       40 |       70 |      122 |
| util.date                   | CalcualteExpectedProgressTest.java        | src      |       12 |        0 |       34 |       70 |      116 |
| util.date                   | CalcualteManDelayTest.java                | src      |       15 |        0 |       43 |      109 |      167 |
| util.date                   | CalcualteOptimaleEfficiencyTest.java      | src      |       12 |        0 |       34 |       64 |      110 |
| util.date                   | CalcualteReleaseDateTest.java             | src      |       12 |        0 |       46 |       59 |      117 |
| util.date                   | CalcualteWorkDaysMiliseconsDelayTest.java | src      |       12 |        0 |       22 |       29 |       63 |
| util.date                   | CalculateWorkingDaysIncludingTest.java    | src      |       15 |        0 |       34 |       72 |      121 |
